536.8,564.55,273,1578.3
543.84,570.37,289,1677.8
544,570.26,290,1814.2
543.93,570.25,291,1685.1
543.77,570.49,295,1794.7
543.99,570.24,296,1679.2
543.76,570.33,297,1794.5
543.71,570.21,298,1728.2
543.76,570.26,299,1546.2
543.9,570.23,300,1594.4
543.94,570.24,302,1376.3
544.02,570.45,311,1495.7
543.95,570.46,312,1420.2
544.03,570.47,317,1329.6
544.08,570.39,319,1477.2
544.15,570.39,323,1491.9
543.94,570.55,325,1321.9
527.92,563.35,330,982.37
543.91,570.56,330,1045
543.97,570.24,332,1329.9
544.01,570.44,333,1452
543.99,570.37,334,1481.3
543.84,570.11,335,1187.4
544.02,570.28,336,1446.9
543.92,570.34,337,1418.3
544.14,570.28,338,1546.4
543.96,570.5,339,1410.1
544.26,570.28,341,1429.1
544.06,570.15,342,1423.7
543.86,570.25,345,1423.7
543.8,570.26,347,1346.7
544.01,570.18,348,1414.6
544.68,570.07,351,2210.2
544.85,570.02,352,2819.5
544.6,570.19,353,1963.3
544.86,570.04,354,3268.1
544.98,570.18,355,2336.2
544.95,570.23,356,1867.4
545.09,569.93,357,1851.2
545.25,570.26,358,1395.4
544.95,570.19,359,1324
544.7,570.58,360,1039.3
544.92,570.06,361,915.04
545.13,570.04,362,1622.6
545.01,570.1,363,1339.3
544.97,570.17,364,1392
536.84,567.98,368,1150.9
545.04,570.23,368,1345.5
544.97,570.13,369,1219.9
526.55,565.44,371,886.18
545.04,570.01,371,1504.7
526.62,565.52,372,942.32
544.91,570.15,372,1437.1
526.58,565.54,373,1022.1
544.91,570.09,373,1551.5
544.85,570.16,374,1437.3
545.03,570.09,375,1404.5
545.02,570.06,376,1285.1
544.87,570.1,377,1153.3
544.87,570.08,381,1385
545.05,570.29,382,1228.7
545.01,570.2,384,1147.4
544.61,570.53,385,1245.8
539.02,568.16,390,868.46
530.4,563.27,417,808.69
530.1,563.3,419,928.99
528.93,562.65,444,606.21
552.84,576.02,448,1001.9
537.46,567.54,454,939.31
537.34,567.58,455,1098.6
537.42,567.72,456,1029.9
537.25,567.63,457,1105.1
537.32,567.75,458,1163.1
537.38,567.76,459,1093.5
537.22,567.69,460,1001.5
537.43,567.57,462,1391.9
537.73,567.57,463,1099.6
537.41,567.53,464,1276.6
536.94,567.52,465,892.91
547.31,581.61,465,631.95
536.51,568.05,466,833.65
529.69,565.61,467,857.26
536.64,567.99,467,949.67
547.28,581.71,467,833.33
529.9,565.89,468,842.38
536.68,567.92,468,1032.5
529.9,565.23,469,973.15
536.37,568.05,469,580.77
547.21,581.62,469,802.43
536.17,567.95,470,749.78
526.49,563.09,473,1333.8
526.82,563.07,474,997.68
526.86,562.97,476,864.46
526.81,563.23,477,1130.8
551.44,580.88,477,549.66
527.45,563.37,478,688.61
527.04,563.19,479,855.05
535.8,568.58,479,930.87
536.06,568.81,480,1183.3
526.9,562.99,481,706.74
536.06,568.8,481,849.79
526.98,563.08,482,850.41
535.88,568.69,482,967.62
527.46,563.17,483,957.74
536.02,568.78,483,1005.3
535.92,568.6,484,911.03
535.68,568.28,485,683.33
536.11,568.61,486,519.72
535.99,568.73,487,789.45
536.17,568.7,488,1201.7
536.07,568.57,489,1105.7
536.15,568.4,490,1029.9
536.3,568.37,491,692.75
536.07,568.89,492,745.47
536.22,568.36,493,1112.3
536.19,568.52,494,825.89
535.96,568.51,495,789.51
540.44,574.13,495,659.32
536.16,567.57,496,522.8
540.2,573.91,496,554.23
550.82,575.56,496,531.42
536.25,568.77,497,750.94
536.17,568.81,498,912.46
535.95,568.63,499,1000.5
535.91,568.53,500,785.06
536.27,568.66,502,733.23
529.68,563.04,503,741.12
536.17,568.53,503,1267.8
547.74,580.66,503,604.69
536.02,568.61,504,966.05
